Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
2.891898928963173,2.227784750982043,1.4950734476070904,2.0284809901448773,2.271600213820131,2.490457615355322,1.89937137286697,2.427728156351289,1.9928837082278832,1.880435539147619,2.202359497874486,1.8917131893902506,2.2995818494532703,2.5557545894792297,2.3881095663486835,2.1285586183227783,1.8757033929403817,2.3056389140299363,2.194461330022256,2.251450235165945,1.7980487184606464,2.1920372419654646,2.000048670085949,2.0546182288346313,2.111685164915633,2.0158154736290936,2.0514298127650323,1.77046985708228,2.350195327329583,1.94015040304633,2.2816163507070186,1.961331934595129
2.356550391169451,2.3314557428945717,1.7687937942823333,2.3262798448487727,2.475866552312306,1.8877591819807689,2.162385459222483,2.0708839090447126,2.6363733482453666,2.1132650392332817,1.9343844137166082,2.00675997728812,2.386048685254207,2.4127169478120916,2.391639974282254,2.3989676305531424,2.156927485266532,2.4041966903560494,2.427586576079887,2.1460232010087013,1.7550867034547484,2.016831090725472,1.9406878105923704,1.5898446180313035,2.254528423508933,2.418631072504533,2.3767025775328494,2.078168936920909,2.2389486450019813,1.8954369986860042,2.3857566750184813,2.321928545413065
2.4655280144502276,2.7727453275262475,2.17869155144114,2.592223549821191,2.444531979882129,2.4785471968795605,2.063253629383748,3.2950665928867338,2.3196365611837675,2.0191294286850074,1.8656484226682324,2.0168987484559335,2.407043066094985,2.57528909045514,2.4895178391976893,1.7648977167309698,1.9255321746131422,2.529632826595433,2.54751073464366,2.2736335373701593,1.8332454436548427,2.535016608801124,2.1982021812706334,2.062536720381593,2.3004887583151374,2.5233299576078405,2.232421669501822,2.1412932712427764,2.242109612496525,2.0376437727427863,2.655798235896293,2.5445570683187504
2.186566875964071,2.2758370268365815,2.462432021137567,2.2517174355411926,2.070652596110622,2.382562853214876,2.3509093512533914,2.2296165873464697,2.1712518787480604,2.0598178160268494,2.1576635841932794,2.3710666887260805,2.3437692619035073,2.065957316712063,1.9620182318562964,1.6183725499589976,1.743788349130852,1.8434723726814066,2.0578353489676813,1.8987021636218904,1.7577450362588998,2.4046346237637577,2.304562638584425,2.150648012104801,2.017475267997969,2.14872879860555,1.8391352620229522,1.9935958044761362,1.8032549848706525,2.169620406612525,1.9320240956241688,2.0956001349105495
3.154075912252527,2.7718013895924933,1.9137236087569072,2.376352245015339,2.6282551149141486,3.0892382121437763,2.3621670540986175,2.125787110592044,2.172823498533231,1.662390519629674,2.1986396047648493,2.3773223066295643,2.8217976560596916,2.2072817496678243,2.0473018388037536,2.10194141185945,2.267268766318007,2.2813599977358514,2.5874638672786237,2.380015069050509,1.6141859785834676,2.5130327961468892,2.0919664739523745,1.7506179934374266,2.82488902334522,2.600677283121814,2.5406731900995934,2.5025671994111014,2.786196651552946,2.3906479668904734,2.560945600337698,2.2957206964229173
2.4992187404009134,2.743802038281862,1.8010125507576817,2.293952500481849,2.2735173563297995,2.3032918881732467,2.2418969480265756,2.6855854275838045,2.281183660605378,2.201461373955297,2.1450769777826624,2.4716987046690115,2.707800189560268,2.4259843175349096,2.2900083739769834,1.9995629065505982,1.8669320940068,2.483539916655395,2.719902525618102,2.023547443012271,1.5646499857346476,2.5154097781076072,2.1678746787193264,1.9179840604693599,2.1135365991116153,2.4265053445710585,2.1779725633674962,1.9674192059883138,2.404502508405904,2.1798307306914952,2.394903325873923,2.0245466647854573
2.2683522116398476,2.4055115822965782,1.8211256095287094,2.338879749086424,2.13469246420803,1.8403031684452649,1.792003599769606,1.840196746683363,1.9959091319095397,2.2101790234295597,2.163576239733623,1.9453819255072875,1.73487830086926,1.9350947080883885,1.8154431082284868,1.5685950569036617,1.4216194082136073,1.7412171301931019,2.1213930623232233,2.037762059301407,1.9156836968587947,2.070518588827947,2.203013954688794,1.8123508336900842,2.0990165786420767,2.3615795097620396,2.47089341057149,1.5640038087748722,2.4542024814293484,1.9236960370444494,2.5124064112539046,2.032702589165595
2.281758823125032,2.8359309501283514,1.9394391537970401,2.5565897252747236,2.513569849268416,2.3743491853264675,2.0596338550527284,2.9612588669006428,2.4380762563097296,1.9547922320616749,1.9324918708840904,2.37184241196927,2.6075586607647523,2.42775613563996,2.1691839464690243,1.6896549591298928,1.9205452099800941,2.051007834270843,2.3928649727122195,2.112635114400892,1.5439401338197574,2.3974890017059876,2.2944098788105904,2.0134172853061094,2.688016238125172,2.7898947448680085,2.7193021714008507,2.4703941741741233,2.331082964372397,2.1744277064901816,2.6473208941200164,2.3458712137514355
3.0425230038658264,2.1984882710040416,2.0380836974033287,2.2066048254414072,2.766453675919942,2.7232390460923392,2.2540600958804906,2.1545600763832002,2.3486525317048925,2.113897906635882,2.043024018658298,2.1812421590719566,2.3406383164613023,2.7755807387490816,2.527106433490108,2.1643808331262107,2.4130643059478656,2.4876040488398083,2.201591316102361,2.3128538827413023,1.567573414093612,2.4494002201956935,2.434447380666425,2.0492393493560606,2.5773211729376313,2.6333578357278298,2.4954751685412315,2.2653578576309257,2.2315855958546593,2.31494978850532,2.535004732454049,2.486791751024495
3.366695084551241,2.448646363278871,2.0326820052228185,2.1706639201391154,2.5327059567006414,3.0751895977249992,2.217922921838043,2.5133627358154325,2.552619286887169,1.7245086728954009,2.332120363011665,1.9180614488356598,2.742606585207741,2.720971846167962,2.7655891326366047,2.6209097127149974,2.8581328519534352,2.4929216420976403,2.4332869031372337,2.791366982419549,2.0788944639969453,2.488605671163823,2.2442203303071153,2.1464840022706895,2.6520532961556644,2.5652377653508758,1.9496519135537766,2.1436975394843225,2.097517458240086,1.9894143266381754,2.1710754249743736,2.24567016145226
